schoolsb,grade,test,profcatlabel,n,tot,per
SUL,Grade 3,write_ideas,Warning (< 65%),33,37,89.2
SUL,Grade 4,math_unit,Proficient (> 80%),2,31,6.4
SUL,Grade 4,math_unit,Needs Improvement (65-79%),10,31,32.3
SUL,Grade 4,math_unit,Warning (< 65%),19,31,61.3
SUL,Grade 4,reading,Proficient (> 80%),5,31,16.1
SUL,Grade 4,reading,Needs Improvement (65-79%),1,31,3.2
SUL,Grade 4,reading,Warning (< 65%),25,31,80.7
SUL,Grade 4,write_conventions,Needs Improvement (65-79%),26,35,74.3
SUL,Grade 4,write_conventions,Warning (< 65%),9,35,25.7
SUL,Grade 4,write_end_per,Warning (< 65%),35,35,100
SUL,Grade 4,write_ideas,Needs Improvement (65-79%),3,35,8.6
SUL,Grade 4,write_ideas,Warning (< 65%),32,35,91.4
SUL,Grade 5,math_unit,Proficient (> 80%),1,55,1.8
SUL,Grade 5,math_unit,Needs Improvement (65-79%),2,55,3.6
SUL,Grade 5,math_unit,Warning (< 65%),52,55,94.6
SUL,Grade 5,reading,Proficient (> 80%),8,60,13.3
SUL,Grade 5,reading,Needs Improvement (65-79%),3,60,5
SUL,Grade 5,reading,Warning (< 65%),49,60,81.7
SUL,Grade 5,write_conventions,Proficient (> 80%),15,60,25
SUL,Grade 5,write_conventions,Needs Improvement (65-79%),43,60,71.7
SUL,Grade 5,write_conventions,Warning (< 65%),2,60,3.3
SUL,Grade 5,write_end_per,Proficient (> 80%),7,60,11.7
SUL,Grade 5,write_end_per,Needs Improvement (65-79%),6,60,10
SUL,Grade 5,write_end_per,Warning (< 65%),47,60,78.3
SUL,Grade 5,write_ideas,Proficient (> 80%),8,60,13.3
SUL,Grade 5,write_ideas,Needs Improvement (65-79%),30,60,50
SUL,Grade 5,write_ideas,Warning (< 65%),22,60,36.7
SUL,Grade 6,math_unit,Proficient (> 80%),23,33,69.7
SUL,Grade 6,math_unit,Needs Improvement (65-79%),8,33,24.2
SUL,Grade 6,math_unit,Warning (< 65%),2,33,6.1
SUL,Grade 6,reading,Proficient (> 80%),8,33,24.2
SUL,Grade 6,reading,Needs Improvement (65-79%),3,33,9.1
SUL,Grade 6,reading,Warning (< 65%),22,33,66.7
SUL,Grade 6,write_conventions,Needs Improvement (65-79%),29,33,87.9
SUL,Grade 6,write_conventions,Warning (< 65%),4,33,12.1
SUL,Grade 6,write_end_per,Warning (< 65%),33,33,100
SUL,Grade 6,write_ideas,Needs Improvement (65-79%),18,33,54.5
SUL,Grade 6,write_ideas,Warning (< 65%),15,33,45.5
SUL,Grade 7,math_unit,Proficient (> 80%),1,39,2.6
SUL,Grade 7,math_unit,Needs Improvement (65-79%),4,39,10.2
SUL,Grade 7,math_unit,Warning (< 65%),34,39,87.2
SUL,Grade 7,reading,Proficient (> 80%),2,37,5.4
SUL,Grade 7,reading,Needs Improvement (65-79%),7,37,18.9
SUL,Grade 7,reading,Warning (< 65%),28,37,75.7
SUL,Grade 7,write_conventions,Proficient (> 80%),2,39,5.1
SUL,Grade 7,write_conventions,Needs Improvement (65-79%),34,39,87.2
SUL,Grade 7,write_conventions,Warning (< 65%),3,39,7.7
SUL,Grade 7,write_end_per,Needs Improvement (65-79%),1,39,2.6
SUL,Grade 7,write_end_per,Warning (< 65%),38,39,97.4
SUL,Grade 7,write_ideas,Needs Improvement (65-79%),11,39,28.2
SUL,Grade 7,write_ideas,Warning (< 65%),28,39,71.8
SUL,Grade 8,math_unit,Proficient (> 80%),2,34,5.9
SUL,Grade 8,math_unit,Needs Improvement (65-79%),2,34,5.9
SUL,Grade 8,math_unit,Warning (< 65%),30,34,88.2
SUL,Grade 8,reading,Proficient (> 80%),5,34,14.7
SUL,Grade 8,reading,Needs Improvement (65-79%),8,34,23.5
SUL,Grade 8,reading,Warning (< 65%),21,34,61.8
SUL,Grade 8,write_conventions,Proficient (> 80%),25,46,54.3
SUL,Grade 8,write_conventions,Needs Improvement (65-79%),21,46,45.7
SUL,Grade 8,write_end_per,Proficient (> 80%),13,46,28.2
SUL,Grade 8,write_end_per,Needs Improvement (65-79%),5,46,10.9
SUL,Grade 8,write_end_per,Warning (< 65%),28,46,60.9
SUL,Grade 8,write_ideas,Proficient (> 80%),13,46,28.2
SUL,Grade 8,write_ideas,Needs Improvement (65-79%),28,46,60.9
SUL,Grade 8,write_ideas,Warning (< 65%),5,46,10.9
